TEAM_ID,TEAM_NAME,TEAM_GP,TEAM_W,TEAM_L,TEAM_W_PCT,TEAM_MIN,TEAM_E_OFF_RATING,TEAM_OFF_RATING,TEAM_E_DEF_RATING,TEAM_DEF_RATING,TEAM_E_NET_RATING,TEAM_NET_RATING,TEAM_AST_PCT,TEAM_AST_TO,TEAM_AST_RATIO,TEAM_OREB_PCT,TEAM_DREB_PCT,TEAM_REB_PCT,TEAM_TM_TOV_PCT,TEAM_EFG_PCT,TEAM_TS_PCT,TEAM_E_PACE,TEAM_PACE,TEAM_PACE_PER40,TEAM_POSS,TEAM_PIE,SEASON,SEASON_START_YEAR
1610612754,Indiana Pacers,50,33,17,0.66,2420.0,105.6,106.6,101.0,102.2,4.6,4.3,0.581,1.55,16.4,0.31,0.671,0.495,0.146,0.486,0.537,89.1,88.16,73.46,4442,0.526,1998-99,1998
1610612755,Philadelphia 76ers,50,28,22,0.56,2430.0,96.8,97.8,94.6,95.5,2.2,2.4,0.564,1.14,14.7,0.356,0.679,0.515,0.179,0.439,0.494,91.4,90.56,75.47,4582,0.518,1998-99,1998
1610612756,Phoenix Suns,50,27,23,0.54,2410.0,103.4,103.9,99.9,101.6,3.5,2.2,0.695,1.83,19.1,0.306,0.671,0.489,0.148,0.481,0.526,92.6,91.54,76.28,4601,0.529,1998-99,1998
1610612757,Portland Trail Blazers,50,35,15,0.7,2435.0,101.4,102.8,94.9,96.2,6.6,6.6,0.614,1.39,16.6,0.345,0.687,0.519,0.167,0.473,0.521,92.1,90.81,75.67,4613,0.556,1998-99,1998
1610612758,Sacramento Kings,50,27,23,0.54,2440.0,99.9,101.2,100.0,101.6,-0.1,-0.4,0.589,1.34,16.4,0.328,0.654,0.493,0.17,0.479,0.514,98.8,97.36,81.13,4948,0.494,1998-99,1998
1610612759,San Antonio Spurs,50,37,13,0.74,2415.0,101.3,102.7,92.1,93.6,9.2,9.1,0.633,1.45,17.4,0.329,0.674,0.512,0.168,0.479,0.523,91.2,89.88,74.9,4517,0.582,1998-99,1998
1610612760,Seattle SuperSonics,50,25,25,0.5,2420.0,101.8,103.2,103.3,104.2,-1.6,-0.9,0.619,1.42,16.7,0.344,0.673,0.506,0.167,0.481,0.519,92.3,91.22,76.02,4594,0.49,1998-99,1998
1610612761,Toronto Raptors,50,23,27,0.46,2415.0,98.8,99.8,100.5,101.8,-1.7,-1.9,0.624,1.3,16.1,0.359,0.675,0.515,0.175,0.45,0.504,91.7,90.67,75.56,4565,0.489,1998-99,1998
1610612762,Utah Jazz,50,37,13,0.74,2435.0,102.7,104.2,95.5,96.7,7.2,7.4,0.715,1.48,19.0,0.329,0.677,0.516,0.182,0.485,0.545,89.6,88.37,73.64,4480,0.591,1998-99,1998
1610612763,Vancouver Grizzlies,50,8,42,0.16,2435.0,95.4,97.1,105.1,106.3,-9.6,-9.3,0.586,1.14,15.3,0.342,0.645,0.49,0.185,0.447,0.498,91.6,90.29,75.24,4576,0.427,1998-99,1998
1610612764,Washington Wizards,50,18,32,0.36,2410.0,98.3,99.8,101.0,102.1,-2.7,-2.3,0.602,1.45,16.8,0.308,0.673,0.488,0.161,0.468,0.507,92.2,91.11,75.93,4571,0.476,1998-99,1998
1610612765,Detroit Pistons,50,29,21,0.58,2410.0,101.2,102.4,97.9,98.4,3.3,4.0,0.608,1.28,16.4,0.331,0.697,0.514,0.179,0.48,0.528,88.7,87.93,73.28,4411,0.515,1998-99,1998
1610612766,Charlotte Hornets,50,26,24,0.52,2430.0,100.0,100.4,99.2,100.4,0.8,0.0,0.664,1.39,17.6,0.266,0.678,0.482,0.172,0.485,0.537,92.1,91.43,76.19,4626,0.511,1998-99,1998
1610612737,Atlanta Hawks,82,28,54,0.341,3966.0,99.2,100.1,104.8,105.8,-5.7,-5.7,0.516,1.22,14.6,0.334,0.698,0.516,0.164,0.46,0.503,94.4,93.55,77.96,7731,0.462,1999-00,1999
1610612738,Boston Celtics,82,35,47,0.427,3946.0,102.0,102.9,103.0,103.9,-1.0,-1.1,0.57,1.38,15.9,0.327,0.705,0.506,0.159,0.474,0.52,97.1,96.19,80.16,7918,0.476,1999-00,1999
1610612739,Cleveland Cavaliers,82,32,50,0.39,3971.0,97.9,98.7,100.9,102.2,-3.0,-3.5,0.652,1.36,17.3,0.308,0.685,0.496,0.177,0.468,0.516,98.4,97.36,81.13,8051,0.475,1999-00,1999
1610612741,Chicago Bulls,82,17,65,0.207,3961.0,91.2,92.8,102.3,102.8,-11.1,-10.0,0.638,1.05,15.8,0.331,0.676,0.499,0.208,0.443,0.49,92.0,90.93,75.78,7492,0.417,1999-00,1999
1610612742,Dallas Mavericks,82,40,42,0.488,3946.0,103.8,104.7,104.5,105.2,-0.7,-0.5,0.567,1.61,16.7,0.281,0.647,0.466,0.142,0.49,0.532,97.4,96.64,80.54,7941,0.493,1999-00,1999
